Product_Name,Sex,Listing_Price,Sale_Price,Price_Difference,Discount,Brand,Catetory_Production,Rating,Reviews
"Women's adidas Originals NMD_Racer Primeknit Shoes",Female,14999,7499,7500,50%,ADIDAS,"ADIDAS ORIGINALS",4.8,41
"Women's adidas Originals Sleek Shoes",Female,7599,3799,3800,50%,ADIDAS,"ADIDAS ORIGINALS",3.3,24
"Women's adidas Swim Puka Slippers",Female,999,599,400,40%,ADIDAS,"ADIDAS CORE/NEO",2.6,37
"Women's adidas Sport Inspired Questar Ride Shoes",Female,6999,3499,3500,50%,ADIDAS,"ADIDAS CORE/NEO",4.1,35
"Women's adidas Originals Taekwondo Shoes",Female,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",3.5,72
"Women's adidas Sport Inspired Duramo Lite 2.0 Shoes",Female,4799,1920,2879,60%,ADIDAS,"ADIDAS CORE/NEO",1,45
"Women's adidas Sport Inspired Duramo Lite 2.0 Shoes",Female,4799,2399,2400,50%,ADIDAS,"ADIDAS CORE/NEO",4.4,2
"Women's adidas Swim Puka Slippers",Female,999,599,400,40%,ADIDAS,"ADIDAS CORE/NEO",2.8,7
"WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES",Female,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",4.5,16
"Men's adidas Originals Forest Grove Shoes",Male,6599,3959,2640,40%,ADIDAS,"ADIDAS ORIGINALS",4,39
"Women's adidas Originals Swift Run Shoes",Female,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",2.7,36
"Women's adidas Originals Continental Vulc Shoes",Female,6599,3959,2640,40%,ADIDAS,"ADIDAS ORIGINALS",4.2,35
"Women's adidas Running Duramo 9 Shoes",Female,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",2.6,97
"Women's adidas Originals Supercourt Shoes",Female,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",3.1,62
"Men's adidas Sport Inspired Response Trail Shoes",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS CORE/NEO",3.2,16
